country,country_tableau,risk_2022,confidence_2022,disruption_2022,total_trade_B_2022,avg_disruption,max_disruption,avg_trade_B,volatility_score,avg_yoy_pct,covid_drop_pct,recovery_pct,dependency_score,risk_score
Australia,Australia,Medium,100.0,0.3818,2.175,0.383,0.3887,1.965,0.0002,2.66,2.17,3.1,1.0,65.8
Austria,Austria,Low,97.3,0.1733,6.71,0.1851,0.1947,4.513,0.0082,3.58,1.31,7.19,0.1761,29.9
Belgium,Belgium,Low,97.3,0.1948,8.102,0.1967,0.2018,5.243,0.0111,4.46,8.69,2.96,0.2308,33.6
Brazil,Brazil,Medium,100.0,0.3275,10.474,0.321,0.3275,6.802,0.011,3.24,2.38,3.99,0.7501,56.5
Bulgaria,Bulgaria,Low,91.4,0.1792,1.677,0.1663,0.1792,0.73,0.0022,4.92,0.97,3.9,0.0889,30.9
Canada,Canada,Low,97.9,0.2175,4.74,0.2228,0.2308,3.664,0.0027,2.87,2.19,3.17,0.3654,37.5
China,China,Medium,90.2,0.4724,519.028,0.4693,0.4871,327.062,1.0,4.68,2.9,10.73,0.0917,81.5
"China, Hong Kong SAR",Hong Kong,Medium,99.0,0.5733,408.86,0.5634,0.5799,306.746,0.3394,3.04,2.88,1.77,0.9763,98.9
Czechia,Czechia,Low,95.4,0.1527,6.291,0.1589,0.1679,5.625,0.0022,2.79,3.09,2.68,0.0659,26.3
Denmark,Denmark,Low,94.9,0.1409,1.568,0.1469,0.155,0.871,0.0019,4.32,2.32,8.76,0.0222,24.3
Finland,Finland,Low,97.3,0.1662,1.828,0.1682,0.1805,0.949,0.0026,4.92,0.31,3.87,0.1236,28.7
France,France,Low,97.7,0.1698,19.199,0.1648,0.1698,15.01,0.0118,2.85,2.38,2.83,0.0934,29.3
Germany,Germany,Low,96.2,0.1734,62.641,0.1653,0.1734,38.064,0.085,3.44,1.01,3.29,0.0311,29.9
Hungary,Hungary,Low,66.9,0.2826,7.144,0.2685,0.2826,3.666,0.013,5.69,0.17,3.87,0.4864,48.7
India,India,Medium,96.4,0.5054,22.509,0.3394,0.5054,6.062,0.0476,27.02,1.85,3.65,0.4543,87.2
Indonesia,Indonesia,Low,97.9,0.176,5.053,0.1848,0.2131,2.342,0.0094,7.73,2.4,21.98,0.134,30.4
Ireland,Ireland,Low,48.7,0.3187,22.682,0.319,0.3223,14.122,0.032,3.67,2.96,5.8,0.6984,55.0
Israel,Israel,Low,91.3,0.227,8.502,0.2272,0.2366,5.018,0.0099,3.37,1.71,3.62,0.3015,39.1
Italy,Italy,Low,92.2,0.1558,8.786,0.1483,0.1613,6.244,0.0075,3.07,2.52,3.57,0.0097,26.9
Japan,Japan,Low,91.9,0.2532,57.584,0.2511,0.2547,53.077,0.0252,2.73,2.68,3.15,0.3981,43.7
Malaysia,Malaysia,Low,97.5,0.2222,129.812,0.2183,0.23,74.806,0.1632,3.49,2.79,3.16,0.1481,38.3
Malta,Malta,Low,97.2,0.2032,1.371,0.2012,0.2035,1.017,0.0004,2.94,2.49,2.71,0.2662,35.0
Mexico,Mexico,Low,96.6,0.233,32.243,0.2141,0.233,26.939,0.0161,2.77,2.34,3.0,0.282,40.2
Morocco,Morocco,Low,91.4,0.2069,1.625,0.1999,0.2069,0.771,0.0019,4.09,1.74,4.04,0.2035,35.7
Netherlands,Netherlands,Low,95.7,0.147,35.666,0.1564,0.1691,31.717,0.0303,2.62,1.44,3.17,0.004,25.3
Philippines,Philippines,Low,94.3,0.1873,43.829,0.1796,0.1881,38.317,0.0166,2.74,2.65,2.75,0.0957,32.3
Poland,Poland,Low,88.9,0.2684,6.67,0.2171,0.2684,2.591,0.0125,12.88,0.0,3.73,0.2424,46.3
Portugal,Portugal,Low,90.1,0.1636,4.208,0.1651,0.1747,2.555,0.0044,3.38,2.69,3.71,0.1751,28.2
Rep. of Korea,South Korea,Low,70.8,0.3049,178.491,0.3081,0.3138,154.494,0.1137,2.85,2.82,3.35,0.5335,52.6
Romania,Romania,Medium,92.2,0.3537,3.571,0.2284,0.3537,0.965,0.007,23.87,2.85,3.5,0.5281,61.0
Singapore,Singapore,Low,97.0,0.2373,217.047,0.2296,0.2373,158.029,0.2458,3.21,1.85,5.45,0.1329,40.9
Slovakia,Slovakia,Low,96.1,0.1977,1.203,0.2035,0.2144,1.006,0.0,2.79,2.37,3.18,0.2542,34.1
Spain,Spain,Medium,84.0,0.3513,6.048,0.3076,0.3513,2.506,0.0107,8.51,0.26,2.9,0.6078,60.6
Sweden,Sweden,Low,95.8,0.1525,2.478,0.1498,0.1659,1.498,0.0031,4.38,0.84,10.49,0.0083,26.3
Switzerland,Switzerland,Low,97.6,0.1575,3.884,0.1489,0.1591,2.12,0.0046,3.6,2.46,3.32,0.1117,27.2
Thailand,Thailand,Low,96.2,0.16,28.242,0.1516,0.1638,22.665,0.0187,2.89,2.67,3.25,0.0001,27.6
Türkiye,Turkey,Low,94.9,0.1834,2.579,0.1812,0.1834,1.554,0.0025,3.47,3.32,3.42,0.5081,31.6
USA,United States,Low,97.7,0.1979,137.868,0.1964,0.1998,95.636,0.1457,3.02,1.42,3.24,0.055,34.1
United Kingdom,United Kingdom,Low,96.0,0.1491,8.424,0.1413,0.1491,4.85,0.0111,3.6,1.08,3.17,0.0,25.7
Viet Nam,Vietnam,Low,95.7,0.1687,70.299,0.1563,0.1687,37.732,0.1093,4.14,0.83,2.86,0.2751,29.1
