refYear,country,imports,exports,total_trade,import_export_ratio,prev_trade,yoy_change,volatility_score,dependency_score,year,event_count,avg_goldstein,avg_tone,conflict_ratio,disruption_index,risk_label,node_id,predicted_risk,prob_low,prob_medium,prob_high,confidence,risk_category,total_trade_B,imports_B,exports_B,yoy_pct,risk_score,phase,phase_order,country_tableau,confidence_pct,confidence_bucket,trade_balance_type,prob_low_pct,prob_medium_pct,prob_high_pct
2022,"China, Hong Kong SAR",0.5290418398820405,1.0,408859702215.4869,0.8055413708916381,224049006059.732,0.0493842205848258,0.3394135276760368,0.9762781665948926,2022.0,0.0003188013042062,0.606067253328385,0.9172943489002866,0.838357656052802,0.5732535273664483,1,"China, Hong Kong SAR_2022",1,0.00978952,0.98972535,0.00048511664,0.98972535,Medium,408.86,216.304,408.86,4.94,98.9,Post-COVID (2022),4,Hong Kong,99.0,High (≥80%),Balanced,1.0,99.0,0.0
2022,India,0.0619016846918433,0.0048377513021058,22508881799.007,18.31584013433545,642869927.741,1.0,0.0476202085995823,0.4543445195276042,2022.0,0.061842865167206,0.3600072406929046,0.2823847579647869,0.9954453095879828,0.5054274646964518,1,India_2022,1,0.035270497,0.96385384,0.0008756542,0.96385384,Medium,22.509,1.393,0.109,100.0,87.2,Post-COVID (2022),4,India,96.4,High (≥80%),Import-heavy,3.5,96.4,0.1
2022,China,0.9225552814948708,0.8872920113076039,519027839506.0,1.5830935088110214,528515899760.0,0.0252432215140559,1.0,0.091655192719991,2022.0,0.2971857449107665,0.90275446367654,0.6194518978373766,0.5499781931547147,0.4724043612397538,2,China_2022,1,0.09745288,0.90236133,0.00018574727,0.90236133,Medium,519.028,478.832,460.529,2.52,81.5,Post-COVID (2022),4,China,90.2,High (≥80%),Import-heavy,9.7,90.2,0.0
2022,Australia,0.0057861611557539,0.000483507922311,2174662931.043,11.10794069628484,2007704808.878,0.0281393572467393,0.0002030556700245,1.0,2022.0,0.1435381107000231,0.6174044187579975,0.2914162924892041,0.6463400316619154,0.381781422148563,1,Australia_2022,1,4.2182048e-05,0.99989605,6.1791376e-05,0.99989605,Medium,2.175,0.013,0.001,2.81,65.8,Post-COVID (2022),4,Australia,100.0,High (≥80%),Import-heavy,0.0,100.0,0.0
2022,Romania,0.0097966889406065,0.0005447867805544,3571356873.2000003,17.458678908240966,117811266.94,0.8654087976566921,0.0069876085291278,0.5280984770264784,0.0,0.0,0.0,0.4651280527187281,0.0,0.3537154666185692,1,Romania_2022,1,0.07570853,0.9217606,0.0025307955,0.9217606,Medium,3.571,0.035,0.002,86.54,61.0,Post-COVID (2022),4,Romania,92.2,High (≥80%),Import-heavy,7.6,92.2,0.3
2022,Spain,0.0156449315718514,0.0025788267999411,6048278910.143,8.24900481897188,606389149.402,0.2828082259162311,0.0107363333289796,0.6078374815165146,2022.0,0.1173829292070728,0.5452304865880789,0.2831119471808138,0.7413410755001449,0.3512542716041718,1,Spain_2022,1,0.15144446,0.84021866,0.008336891,0.84021866,Medium,6.048,0.095,0.016,28.28,60.6,Post-COVID (2022),4,Spain,84.0,High (≥80%),Import-heavy,15.1,84.0,0.8
2022,Brazil,0.0301053380261428,0.0001021065959482,10473525133.0,111.29753223829948,7005038931.0,0.0399398414167701,0.011009402711779,0.7501425510847618,2022.0,0.0576289802342831,0.8243436303193007,0.4271059142572327,0.5730954338236223,0.3275013333673449,1,Brazil_2022,1,1.7119406e-05,0.9995491,0.00043369597,0.9995491,Medium,10.474,0.315,0.001,3.99,56.5,Post-COVID (2022),4,Brazil,100.0,High (≥80%),Import-heavy,0.0,100.0,0.0
2022,Ireland,0.0303511063011104,0.0536571991754045,22681906794.555,0.8565997584141227,17934356578.64,0.0333397909174172,0.0319782705706178,0.6984092497466736,2022.0,0.0810593769145012,0.6488943200135868,0.358790923711859,0.6133361568963404,0.3187432676969742,0,Ireland_2022,0,0.4870698,0.4792627,0.03366756,0.4870698,Low,22.682,0.688,1.217,3.33,55.0,Post-COVID (2022),4,Ireland,48.7,Low (<50%),Balanced,48.7,47.9,3.4
2022,Rep. of Korea,0.1907488541248801,0.4976266096563635,178491187600.0,0.583472469847169,174770046953.0,0.0263672903047889,0.1137144915040483,0.5335345027944097,2022.0,0.0958055899433488,1.0,0.628994176924786,0.4614159357145787,0.3048832392604401,0,Rep. of Korea_2022,0,0.7083388,0.2879574,0.0037038152,0.7083388,Low,178.491,34.047,88.822,2.64,52.6,Post-COVID (2022),4,South Korea,70.8,Medium (50-80%),Export-heavy,70.8,28.8,0.4
2022,Hungary,0.0164003715343751,0.0062674563850576,7143773976.0,3.797830415439509,1245554014.0,0.1613946985406563,0.0130044441657721,0.4863958174567651,2022.0,0.0493193745685571,0.8219861710543112,0.4035388744025417,0.5627945664078097,0.2825522997234798,0,Hungary_2022,0,0.66911435,0.30661482,0.02427085,0.66911435,Low,7.144,0.117,0.045,16.14,48.7,Post-COVID (2022),4,Hungary,66.9,Medium (50-80%),Import-heavy,66.9,30.7,2.4
2022,Poland,0.0169388484830666,0.0033545086283549,6670015354.0,7.040669030487726,420110621.0,0.451875910718548,0.0124841733684723,0.242362874098995,2022.0,0.1184430474023401,0.6744171041482776,0.1705306320458229,0.644388153783457,0.2684224389511009,0,Poland_2022,0,0.88938147,0.09868377,0.0119346995,0.88938147,Low,6.67,0.113,0.022,45.19,46.3,Post-COVID (2022),4,Poland,88.9,High (≥80%),Import-heavy,88.9,9.9,1.2
2022,Japan,0.0,0.254061229715359,57583770587.316,0.0,58655658812.65,0.0252339989767697,0.0252477336862948,0.3980984717851592,2022.0,0.140030393233913,0.808378911208238,0.4988126124005484,0.607993461102283,0.2532260182529295,0,Japan_2022,0,0.91901016,0.076176375,0.00481354,0.91901016,Low,57.584,0.0,14.63,2.52,43.7,Post-COVID (2022),4,Japan,91.9,High (≥80%),Export-heavy,91.9,7.6,0.5
2022,Singapore,0.2228807099657535,0.6190033610282978,217047091097.849,0.5481437962806678,191456092631.766,0.0295860192616447,0.2458172881944502,0.1328550673782376,2022.0,0.0302165836717595,0.9491853959509836,0.582062646871836,0.4412266194946075,0.2372664147665981,0,Singapore_2022,0,0.96979195,0.02849677,0.0017113078,0.96979195,Low,217.047,48.376,134.353,2.96,40.9,Post-COVID (2022),4,Singapore,97.0,High (≥80%),Export-heavy,97.0,2.8,0.2
2022,Mexico,0.0785688513816847,0.0224515889495366,32243054700.0,5.257537473963173,26784320341.0,0.0315949990646779,0.016130054427856,0.2820476476441424,2022.0,0.0749642211012217,0.5192524837664719,0.3633501278554943,0.7663190057807201,0.2329527917049854,0,Mexico_2022,0,0.966305,0.024973763,0.008721191,0.966305,Low,32.243,2.533,0.724,3.16,40.2,Post-COVID (2022),4,Mexico,96.6,High (≥80%),Import-heavy,96.6,2.5,0.9
2022,Israel,0.0095498069483081,0.0227032768537051,8502405000.0,0.6320488645723007,4156336000.0,0.0557081050433036,0.0098796354286226,0.3014966366345126,2022.0,0.2099823714619334,0.5845980421262023,0.1842007534401322,0.7936814265361422,0.2269519601203102,0,Israel_2022,0,0.91347736,0.06779427,0.018728284,0.91347736,Low,8.502,0.081,0.193,5.57,39.1,Post-COVID (2022),4,Israel,91.3,High (≥80%),Export-heavy,91.3,6.8,1.9
