refYear,country,imports,exports,total_trade,import_export_ratio,prev_trade,yoy_change,volatility_score,dependency_score,year,event_count,avg_goldstein,avg_tone,conflict_ratio,disruption_index,risk_label,node_id,predicted_risk,prob_low,prob_medium,prob_high,confidence,risk_category,total_trade_B,imports_B,exports_B,yoy_pct,risk_score,phase,phase_order,country_tableau,confidence_pct,confidence_bucket,trade_balance_type
2019,Australia,0.0053706090761947,0.0002486539221687,1978215875.456,14.645392305599875,0.0,0.0257574309132079,0.0002030556700245,1.0,2019.0,0.1858032161831564,0.5042904803607866,0.1682405185102702,0.7774343828195659,0.3886516121576109,1,Australia_2019,1,0.00026102964,0.70002174,0.2997172,0.70002174,Medium,1.978,0.011,0.0,2.58,67.0,Pre-COVID (2019),1,Australia,70.0,Medium (50-80%),Import-heavy
2020,Australia,0.0045758977635635,0.000228107957923,1699549898.4840002,12.954795923851542,1978215875.456,0.0217225483527724,0.0002030556700245,1.0,2020.0,0.153871535681958,0.5090877302051184,0.0857225657130382,0.794196881317515,0.3821072151404929,1,Australia_2020,1,2.849465e-05,0.9591566,0.04081498,0.9591566,Medium,1.7,0.008,0.0,2.17,65.9,COVID Shock (2020),2,Australia,95.9,High (≥80%),Import-heavy
2021,Australia,0.0054111752619353,0.0003171317050374,2007704808.878,13.144484583833457,1699549898.4840002,0.0309508791359391,0.0002030556700245,1.0,2021.0,0.1492484652110471,0.6392568189039178,0.1852283732856903,0.699179567615261,0.3796508649990534,1,Australia_2021,1,6.0265734e-06,0.9998178,0.0001761794,0.9998178,Medium,2.008,0.011,0.001,3.1,65.5,Recovery (2021),3,Australia,100.0,High (≥80%),Import-heavy
2022,Australia,0.0057861611557539,0.000483507922311,2174662931.043,11.10794069628484,2007704808.878,0.0281393572467393,0.0002030556700245,1.0,2022.0,0.1435381107000231,0.6174044187579975,0.2914162924892041,0.6463400316619154,0.381781422148563,1,Australia_2022,1,4.2182048e-05,0.99989605,6.1791376e-05,0.99989605,Medium,2.175,0.013,0.001,2.81,65.8,Post-COVID (2022),4,Australia,100.0,High (≥80%),Import-heavy
2019,Austria,0.005098906421405,0.0085360170212987,3760601759.818,0.8779448070821826,0.0,0.0257574309132079,0.0082023232287877,0.1760658936011009,2019.0,0.0418713452320457,0.6708762748899975,0.4054328304893411,0.6720705641105891,0.1929825242170756,0,Austria_2019,0,0.8964203,0.0029638994,0.100615814,0.8964203,Low,3.761,0.019,0.032,2.58,33.3,Pre-COVID (2019),1,Austria,89.6,High (≥80%),Balanced
2020,Austria,0.0,0.0089609967717768,2098714844.528,0.0,3760601759.818,0.0130994406512137,0.0082023232287877,0.1760658936011009,2020.0,0.0371733158142534,0.6347432158622406,0.2035022522269344,0.7330663465031155,0.1794072356973151,0,Austria_2020,0,0.94536835,0.001304564,0.05332709,0.94536835,Low,2.099,0.0,0.019,1.31,30.9,COVID Shock (2020),2,Austria,94.5,High (≥80%),Export-heavy
2021,Austria,0.0081930294458692,0.0114319406676346,5483019592.437,1.062774702568814,2098714844.528,0.0719462291263902,0.0082023232287877,0.1760658936011009,2021.0,0.0401490956934586,0.7526292600996992,0.3399685612239002,0.6656929602014545,0.1947172163467978,0,Austria_2021,0,0.9817902,0.0031338087,0.015075938,0.9817902,Low,5.483,0.045,0.063,7.19,33.6,Recovery (2021),3,Austria,98.2,High (≥80%),Balanced
2022,Austria,0.0107234598865814,0.01299878459636,6710204288.493,1.22724880286554,5483019592.437,0.0321682093378223,0.0082023232287877,0.1760658936011009,2022.0,0.034522659078148,0.7243381606485424,0.2734704159469023,0.6205954036194702,0.1733471643740868,0,Austria_2022,0,0.97291034,0.016065594,0.011024087,0.97291034,Low,6.71,0.072,0.087,3.22,29.9,Post-COVID (2022),4,Austria,97.3,High (≥80%),Balanced
2019,Belgium,0.0,0.0070754123257672,1671861892.0110002,0.0,0.0,0.0257574309132079,0.0111052887625624,0.2307867361052226,2019.0,0.1062465584360624,0.6444739995378806,0.1683803607554559,0.7298605864867704,0.1924968808862771,0,Belgium_2019,0,0.94801027,0.0012240355,0.050765693,0.94801027,Low,1.672,0.0,0.012,2.58,33.2,Pre-COVID (2019),1,Belgium,94.8,High (≥80%),Export-heavy
2020,Belgium,0.0090976839479914,0.0089925714532378,5242725535.885,1.4895857256243177,1671861892.0110002,0.0869351810669887,0.0111052887625624,0.2307867361052226,2020.0,0.0722414592769356,0.6273343045544011,0.060918547885108,0.7555429545263951,0.1978386048359422,0,Belgium_2020,0,0.9733277,0.0004866399,0.026185757,0.9733277,Low,5.243,0.048,0.047,8.69,34.1,COVID Shock (2020),2,Belgium,97.3,High (≥80%),Balanced
2021,Belgium,0.0104011560117694,0.0101482968295506,5953789695.622,1.5148085028686569,5242725535.885,0.0296422634327337,0.0111052887625624,0.2307867361052226,2021.0,0.0700252031848053,0.6709858357199399,0.2695191921407016,0.7193528846986784,0.2018115752604931,0,Belgium_2021,0,0.9839364,0.001848759,0.014214753,0.9839364,Low,5.954,0.062,0.06,2.96,34.8,Recovery (2021),3,Belgium,98.4,High (≥80%),Import-heavy
2022,Belgium,0.0152590506114096,0.0122386018313114,8101978844.810999,1.8521172617347388,5953789695.622,0.0360921734605575,0.0111052887625624,0.2307867361052226,2022.0,0.0737731505288725,0.7061908252041851,0.3303518292900785,0.6237708077376762,0.1948475094368452,0,Belgium_2022,0,0.9733055,0.0125483535,0.014146089,0.9733055,Low,8.102,0.124,0.099,3.61,33.6,Post-COVID (2022),4,Belgium,97.3,High (≥80%),Import-heavy
2019,Brazil,0.0144016261055796,0.0,5035802638.0,70.78491255496623,0.0,0.0257574309132079,0.011009402711779,0.7501425510847618,2019.0,0.1048006635691102,0.8292054548103662,0.3228218598999796,0.6519635994178327,0.3260666706700386,1,Brazil_2019,1,0.00018089448,0.87231284,0.12750621,0.87231284,Medium,5.036,0.073,0.0,2.58,56.2,Pre-COVID (2019),1,Brazil,87.2,High (≥80%),Import-heavy
2020,Brazil,0.0133643115663,7.0290771196622e-05,4694050910.0,53.5417266640455,5035802638.0,0.0238135813474366,0.011009402711779,0.7501425510847618,2020.0,0.0680807139155126,0.7030711953880602,0.1087683945118812,0.665197123333661,0.3062575828054487,1,Brazil_2020,1,1.0048472e-05,0.96629745,0.033692468,0.96629745,Medium,4.694,0.063,0.0,2.38,52.8,COVID Shock (2020),2,Brazil,96.6,High (≥80%),Import-heavy
2021,Brazil,0.020059724221493,8.099576325178986e-05,7005038931.0,78.16474875825047,4694050910.0,0.0398591004338195,0.011009402711779,0.7501425510847618,2021.0,0.0631767731737571,0.7307681368949733,0.2476294831865945,0.6711639270305173,0.3242478160447251,1,Brazil_2021,1,2.2896115e-06,0.99906474,0.00093296624,0.99906474,Medium,7.005,0.141,0.001,3.99,55.9,Recovery (2021),3,Brazil,99.9,High (≥80%),Import-heavy
2022,Brazil,0.0301053380261428,0.0001021065959482,10473525133.0,111.29753223829948,7005038931.0,0.0399398414167701,0.011009402711779,0.7501425510847618,2022.0,0.0576289802342831,0.8243436303193007,0.4271059142572327,0.5730954338236223,0.3275013333673449,1,Brazil_2022,1,1.7119406e-05,0.9995491,0.00043369597,0.9995491,Medium,10.474,0.315,0.001,3.99,56.5,Post-COVID (2022),4,Brazil,100.0,High (≥80%),Import-heavy
2019,Bulgaria,0.0010118769259249,0.0007897619217633,597828307.247,1.4015418458101123,0.0,0.0257574309132079,0.0021816332373148,0.0888813110895811,2019.0,0.0406494240858956,0.6258855080871516,0.4220155835948466,0.671655282789979,0.1709761547042128,0,Bulgaria_2019,0,0.93587905,0.006011242,0.058109663,0.93587905,Low,0.598,0.001,0.0,2.58,29.5,Pre-COVID (2019),1,Bulgaria,93.6,High (≥80%),Balanced
2020,Bulgaria,0.0,0.0008475526170326,262017686.857,0.0,597828307.247,0.0096680777323104,0.0021816332373148,0.0888813110895811,2020.0,0.0296530368903864,0.8233329904902777,0.2256737048938846,0.602127699015052,0.1376949586316981,0,Bulgaria_2020,0,0.9492364,0.0076029017,0.04316074,0.9492364,Low,0.262,0.0,0.0,0.97,23.7,COVID Shock (2020),2,Bulgaria,94.9,High (≥80%),Export-heavy
2021,Bulgaria,0.0,0.0013820486674997,383015299.949,0.0,262017686.857,0.0389845976152762,0.0021816332373148,0.0888813110895811,2021.0,0.0263557463474492,0.5865660842488196,0.3849059464232454,0.7223749895854694,0.1775185803467899,0,Bulgaria_2021,0,0.95686305,0.02300752,0.020129362,0.95686305,Low,0.383,0.0,0.001,3.9,30.6,Recovery (2021),3,Bulgaria,95.7,High (≥80%),Export-heavy
2022,Bulgaria,0.0034530859997798,0.0018374903148909,1676733839.336,2.4492405681894693,383015299.949,0.1225059468194465,0.0021816332373148,0.0888813110895811,2022.0,0.0383762714437227,0.7029625267267547,0.3239758629740107,0.6626410960189062,0.179169757807716,0,Bulgaria_2022,0,0.913915,0.068751365,0.017333666,0.913915,Low,1.677,0.006,0.003,12.25,30.9,Post-COVID (2022),4,Bulgaria,91.4,High (≥80%),Import-heavy
